id,segment,locale_style,user_message,ideal_bot_response,slots_json
JY00001,welcome_menu,light_sg,hi how can this chat help me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00002,welcome_menu,standard,hi jal yoga can I check something about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00003,welcome_menu,light_sg,good evening can I check something before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00004,welcome_menu,standard,hi can I check something,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00005,welcome_menu,standard,good evening I need some help before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00006,welcome_menu,standard,hi jal yoga I want to know where to start for now,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00007,welcome_menu,standard,good evening how can this chat help me about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00008,welcome_menu,medium_sg,hello team what can I choose here about my account ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00009,welcome_menu,standard,hello team what are the menu options,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00010,welcome_menu,standard,hi what are the menu options about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00011,welcome_menu,standard,hey I need some help about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00012,welcome_menu,light_sg,hi I have a few questions,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00013,welcome_menu,light_sg,hello team what can I do in this chat about classes,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00014,welcome_menu,standard,hello can I check something,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00015,welcome_menu,light_sg,hello team how can this chat help me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00016,welcome_menu,medium_sg,hello team can I check something for now ya,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00017,welcome_menu,standard,hey I just want to ask about your services about my account,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00018,welcome_menu,standard,hi jal yoga can I check something before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00019,welcome_menu,light_sg,good evening I just want to ask about your services,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00020,welcome_menu,light_sg,hey I want to know where to start,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00021,welcome_menu,light_sg,hello team I need some help,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00022,welcome_menu,medium_sg,hello team what are the menu options for now leh,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00023,welcome_menu,medium_sg,good evening what are the menu options,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00024,welcome_menu,standard,hi jal yoga can someone guide me,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00025,welcome_menu,standard,hello I want to know where to start before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00026,welcome_menu,standard,good evening I have a few questions before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
JY00027,welcome_menu,standard,hello what can I choose here before I book,"Namaste! Thank you for reaching out to Jal Yoga. 🙏 Please let us know what you're looking for today:
1. Schedule a Trial
2. I’m a current member
3. I’d like to find out more about Jal Yoga (General Enquiry)
4. Corporate/Partnerships
5. Staff Hub",{}
